
🚀 전환 매매 전략 백테스트 시작
   원본 주식: TSLA
   롱 ETF: TSLL
   숏 ETF: TSLS
   기간: 2024-11-01 ~ 2025-12-03
   간격: 2m


======================================================================
전환 매매 전략 백테스트 시작
원본 주식: TSLA -> TSLL 2 /TSLS -1
기간: 2024-11-01 ~ 2025-12-03
초기 자본: $1200.00
======================================================================

데이터 수집 중...
✅ 데이터 수집 완료: 원본 5175개, 롱 5175개, 숏 5107개

📈 [2025-10-24 11:32] TSLA -> TSLL 롱 진입 @ $20.26 x 56.27 (수수료: $2.85)
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.48
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.45
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.47
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.46
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.44
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.44
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.44
self.entry_time: 2025-10-24 13:30, self.current_etf_symbol: TSLS, self.current_position: SHORT, self.entry_price: 5.44, current_price: 5.35
🔄 [2025-10-27 09:30] 전환 매매: TSLS -> TSLL
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.50
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.24
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.56
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.64
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.62
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.52
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.56
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.51
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.45
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.55
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.59
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.53
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.66
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.68
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.74
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.77
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.83
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.72
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.85
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.89
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.96
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.86
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.85
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.82
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.78
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.91
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.94
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.98
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.92
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.90
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.90
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.86
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.90
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.79
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.72
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.73
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.84
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.81
